record_id,category,difficulty,solved_by_tactic_portfolio,passing_baselines
spectral_dft.dft2_dc_zero_sum_2pt,spectral_dft,1,True,aesop;simpa
spectral_dft.idft2_first_recovers_input_2pt,spectral_dft,2,False,
spectral_dft.idft2_second_recovers_input_2pt,spectral_dft,2,False,
spectral_dft.dft2_inverse_2pt,spectral_dft,2,False,
spectral_dft.dft2_dc_swap_2pt,spectral_dft,1,False,
spectral_dft.dft2_nyquist_swap_2pt,spectral_dft,2,False,
spectral_dft.dft2_energy_eq_two_physical_energy_2pt,spectral_dft,3,False,
spectral_dft.dft2_parseval_2pt,spectral_dft,3,False,
spectral_dft.finite_dc_centered_signal_zero_general_n,spectral_dft,3,False,
finite_difference.upwind_weights_sum_1d,finite_difference_stability,1,True,aesop;linarith;nlinarith;norm_num;ring;ring_nf;simp;simp_all;simpa
finite_difference.upwind_weights_nonneg_1d,finite_difference_stability,2,True,aesop;simp_all
finite_difference.upwind_constant_state_1d,finite_difference_stability,1,False,
finite_difference.upwind_monotone_1d,finite_difference_stability,3,False,
finite_difference.upwind_cfl_linf_stability_1d,finite_difference_stability,3,False,
finite_difference.lax_friedrichs_weights_sum_1d,finite_difference_stability,1,False,
finite_difference.lax_friedrichs_weights_nonneg_1d,finite_difference_stability,2,False,
finite_difference.lax_friedrichs_constant_state_1d,finite_difference_stability,1,False,
finite_difference.lax_friedrichs_monotone_1d,finite_difference_stability,3,False,
finite_difference.lax_friedrichs_cfl_linf_stability_1d,finite_difference_stability,3,False,
finite_difference.flux_difference_const_zero_1d,finite_difference_conservation,1,False,
finite_difference.conservative_update_zero_scale_1d,finite_difference_conservation,1,False,
finite_difference.conservative_update_const_flux_1d,finite_difference_conservation,2,False,
finite_difference.flux_difference_sum_range_1d,finite_difference_conservation,3,False,
finite_difference.total_conservative_update_1d,finite_difference_conservation,3,False,
finite_difference.total_conservative_update_boundary_1d,finite_difference_conservation,2,False,
finite_difference.total_conservative_update_periodic_boundary_1d,finite_difference_conservation,2,False,
finite_difference.total_change_conservative_update_1d,finite_difference_conservation,3,False,
finite_difference.kdv_second_forward_difference_const_zero_1d,finite_difference_kdv,1,False,
finite_difference.kdv_conservative_flux_const_1d,finite_difference_kdv,1,False,
finite_difference.kdv_conservative_flux_const_difference_zero_1d,finite_difference_kdv,2,False,
finite_difference.kdv_conservative_update_zero_scale_1d,finite_difference_kdv,1,False,
finite_difference.kdv_conservative_update_const_state_1d,finite_difference_kdv,2,False,
finite_difference.kdv_total_update_1d,finite_difference_kdv,3,False,
finite_difference.kdv_total_update_boundary_1d,finite_difference_kdv,2,False,
finite_difference.kdv_total_update_periodic_flux_1d,finite_difference_kdv,2,False,
finite_difference.kdv_total_change_boundary_1d,finite_difference_kdv,3,False,
finite_difference.kdv_mass_update_1d,finite_difference_kdv,3,False,
finite_difference.kdv_mass_periodic_flux_1d,finite_difference_kdv,2,False,
finite_difference.kdv_canonical_mass_periodic_flux_1d,finite_difference_kdv,3,False,
finite_difference.kdv_conservative_update_eq_1d,finite_difference_kdv,1,True,aesop;rfl
finite_difference.kdv_discrete_mass_eq_total_on_1d,finite_difference_kdv,1,True,aesop;rfl
finite_difference.kdv_total_change_update_1d,finite_difference_kdv,3,False,
finite_difference.kdv_canonical_flux_eq_1d,finite_difference_kdv,1,False,
finite_difference.kdv_canonical_flux_const_1d,finite_difference_kdv,1,False,
finite_difference.kdv_canonical_flux_const_difference_zero_1d,finite_difference_kdv,2,False,
finite_difference.kdv_canonical_update_eq_1d,finite_difference_kdv,1,True,aesop;rfl
finite_difference.kdv_canonical_update_zero_scale_1d,finite_difference_kdv,1,False,
finite_difference.kdv_canonical_update_const_state_1d,finite_difference_kdv,2,False,
finite_difference.kdv_total_canonical_update_1d,finite_difference_kdv,3,False,
finite_difference.kdv_total_canonical_update_boundary_1d,finite_difference_kdv,2,False,
finite_difference.kdv_total_canonical_update_periodic_flux_1d,finite_difference_kdv,2,False,
finite_difference.kdv_total_change_canonical_update_1d,finite_difference_kdv,3,False,
finite_difference.heat_weights_sum_1d,finite_difference_heat,1,False,
finite_difference.heat_weights_nonneg_cfl_1d,finite_difference_heat,2,False,
finite_difference.heat_constant_state_1d,finite_difference_heat,1,False,
finite_difference.heat_monotone_1d,finite_difference_heat,3,False,
finite_difference.heat_cfl_linf_stability_1d,finite_difference_heat,3,False,
finite_difference.heat_grid_second_difference_1d,finite_difference_heat,2,False,
finite_difference.heat_grid_constant_state_1d,finite_difference_heat,1,False,
finite_difference.heat_grid_linf_stability_1d,finite_difference_heat,3,False,
finite_difference.heat_grid_heat_second_difference_1d,finite_difference_heat,1,False,
finite_difference.heat_second_difference_sum_boundary_1d,finite_difference_heat,3,False,
finite_difference.heat_grid_total_balance_1d,finite_difference_heat,3,False,
finite_difference.heat_grid_total_change_1d,finite_difference_heat,3,False,
finite_difference.heat_boundary_term_neumann_zero_1d,finite_difference_heat,2,False,
finite_difference.heat_grid_total_boundary_zero_1d,finite_difference_heat,2,False,
finite_difference.heat_grid_total_neumann_boundary_1d,finite_difference_heat,2,False,
finite_difference.burgers_flux_eq_1d,finite_difference_burgers,1,True,aesop;rfl
finite_difference.burgers_flux_const_1d,finite_difference_burgers,1,True,aesop;rfl
finite_difference.burgers_flux_const_difference_zero_1d,finite_difference_burgers,2,False,
finite_difference.burgers_conservative_update_eq_1d,finite_difference_burgers,1,True,aesop;rfl
finite_difference.burgers_conservative_update_zero_scale_1d,finite_difference_burgers,1,False,
finite_difference.burgers_conservative_update_const_state_1d,finite_difference_burgers,2,False,
finite_difference.burgers_total_update_1d,finite_difference_burgers,3,False,
finite_difference.burgers_total_update_boundary_1d,finite_difference_burgers,2,False,
finite_difference.burgers_total_update_periodic_flux_1d,finite_difference_burgers,2,False,
finite_difference.burgers_total_change_update_1d,finite_difference_burgers,3,True,omega;simp_all_ring_nf;simp_ring_nf
fem_projection.cell_average_const_2cell,fem_projection,1,True,linarith;nlinarith;norm_num;omega;ring;ring_nf;simp;simp_all_ring_nf;simp_ring_nf
fem_projection.p0_projection_preserves_const_2cell,fem_projection,1,True,linarith;nlinarith;norm_num;omega;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.p0_projection_idempotent_2cell,fem_projection,1,True,linarith;nlinarith;norm_num;omega;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.p0_projection_residual_mean_zero_2cell,fem_projection,2,True,linarith;nlinarith;norm_num;omega;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.p0_projection_orthogonal_const_2cell,fem_projection,2,True,linarith;nlinarith;norm_num;omega;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.p0_projection_pythagorean_2cell,fem_projection,3,True,linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.p0_projection_l2_contract_2cell,fem_projection,3,True,linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.p0_projection_best_const_approx_2cell,fem_projection,3,True,linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_cell_average_const_2cell,fem_projection,1,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_preserves_const_2cell,fem_projection,1,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_idempotent_2cell,fem_projection,1,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_residual_weighted_mean_zero_2cell,fem_projection,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_orthogonal_const_2cell,fem_projection,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_cell_l2_sq_nonneg_2cell,fem_projection,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_residual_sq_nonneg_2cell,fem_projection,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_const_approx_error_nonneg_2cell,fem_projection,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_pythagorean_2cell,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_l2_contract_2cell,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_error_decomposition_2cell,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_best_const_approx_2cell,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_projection_orthogonal_const_general_n,fem_projection,4,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
linear_algebra_stability.finite_weighted_abs_sum_le_general_n,linear_algebra_stability,4,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
linear_algebra_stability.finite_row_apply_const_general_n,linear_algebra_stability,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
linear_algebra_stability.finite_row_apply_zero_general_n,linear_algebra_stability,1,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
linear_algebra_stability.finite_row_apply_add_general_n,linear_algebra_stability,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_dc_const_general_n,spectral_dft,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_dc_add_general_n,spectral_dft,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_mean_const_general_n,spectral_dft,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.centered_signal_const_zero_general_n,spectral_dft,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_residual_mass_zero_general_n,fem_projection,4,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_average_const_general_n,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_residual_const_zero_general_n,fem_projection,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_average_add_general_n,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_average_smul_general_n,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_residual_add_general_n,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
fem_projection.weighted_p0_residual_smul_general_n,fem_projection,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_dc_zero_general_n,spectral_dft,1,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_dc_neg_general_n,spectral_dft,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_dc_sub_general_n,spectral_dft,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_dc_smul_general_n,spectral_dft,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_mean_add_general_n,spectral_dft,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.finite_mean_smul_general_n,spectral_dft,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.centered_signal_add_general_n,spectral_dft,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
spectral_dft.centered_signal_smul_general_n,spectral_dft,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.affine_interp_const,interpolation_linear,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.affine_interp_add,interpolation_linear,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.affine_interp_smul,interpolation_linear,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.affine_interp_abs_le,interpolation_linear,4,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.linear_interp_at_left,interpolation_linear,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.linear_interp_at_right,interpolation_linear,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.linear_interp_const,interpolation_linear,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
interpolation_linear.linear_interp_eq_affine,interpolation_linear,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
quadrature_rules.midpoint1_add,quadrature_rules,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
quadrature_rules.midpoint1_smul,quadrature_rules,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
quadrature_rules.trapezoid2_const,quadrature_rules,2,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
quadrature_rules.trapezoid2_add,quadrature_rules,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
quadrature_rules.trapezoid2_smul,quadrature_rules,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
quadrature_rules.trapezoid2_nonneg,quadrature_rules,3,True,aesop;linarith;nlinarith;norm_num;omega;rfl;ring;ring_nf;simp;simp_all;simp_all_ring_nf;simp_ring_nf;simpa
